Gen	FittestString____	MaxFit	AvgFit	Diversity
318	ERHqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
319	ERHqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
320	ERHqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
321	ERHqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
322	ERHqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
323	ERHqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
324	ERHqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
325	ERHqifjCyRYhGscbNk	0.0000	0.0000	2.12e-21
326	ERHqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
327	ERHqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
328	ERHqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
329	ERHqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
330	ERHqifjCyRYhCscbNv	0.0000	0.0000	2.12e-21
331	ERHqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
332	ERRqifjCyOYhGscbNv	0.0000	0.0000	2.12e-21
333	ERHqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
334	ERHqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
335	ERHqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
336	ERHqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
337	ERHqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
338	ERHqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
339	ERHqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
340	ERHqifjCyOYhGscbNv	0.0000	0.0000	2.12e-21
341	ERHqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
342	ERHqifjCyRYhGscbNk	0.0000	0.0000	2.12e-21
343	ERHqifjCyOYhCscbNk	0.0000	0.0000	2.12e-21
344	ERHqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
345	ERHqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
346	ERHqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
347	ERHqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
